strain	opaA_sv	opaA_hv1	opaA_hv2	opaB_sv	opaB_hv1	opaB_hv2	opaC_sv	opaC_hv1	opaC_hv2	opaD_sv	opaD_hv1	opaD_hv2	opaE_sv	opaE_hv1	opaE_hv2	opaF_sv	opaF_hv1	opaF_hv2	opaG_sv	opaG_hv1	opaG_hv2	opaH_sv	opaH_hv1	opaH_hv2	opaI_sv	opaI_hv1	opaI_hv2	opaJ_sv	opaJ_hv1	opaJ_hv2	opaK_sv	opaK_hv1	opaK_hv2
Ng_118	1	1	2	1	13	6	4	2	3	5	2	1	5	2	1	5	2	1	1	1	2	1	2	1	4	2	3	1	1	6	4	2	1
Ng_188	2	1	2	1	1	2	1	15	2	1	1	2	2	5	1	1	15	2	1	11	3	2	5	1	1	3	7	1	1	2	2	5	1
RIVM0610	1	7	1	6	21	2	1	9	5	1	4	5	4	12	1	5	3	4	2	9	5	1	2	3	4	12	1	1	8	9			
RIVM0640	5	3	4	6	21	2	1	9	5	1	4	5	4	12	1	5	3	4	2	9	5	1	8	9	4	12	1	1	8	9			
SAMEA116302675	2	1	4	1	1	2	3	1	6	2	1	2	1	13	6	1	1	6	1	15	6	1	1	6	1	1	2	2	1	4	1	1	6
SAMEA116302676	2	1	4	1	1	2	3	1	6	2	1	2	1	13	6	1	1	6	1	15	6	1	1	6	1	1	2	2	1	4	1	1	6
SE690	2	2	1	5	4	5	1	9	6	1	1	5	2	1	5	1	1	2	1	8	9	1	3	4	1	3	4	1	9	6	2	3	5
SRR5827236	1	1	2	2	1	2	1	9	5	2	1	1	2	1	2	2	1	2	1	1	2	1	1	7	1	2	3	1	9	5	1	1	2
SRR5827322	2	4	5	2	1	5	3	15	2	2	1	5	1	4	5	1	8	9	2	4	5	1	8	9	4	10	1	4	2	7	2	1	5
SRRSH203	3	8	9	2	2	3	1	6	8	4	2	1	1	6	8	1	2	1	2	4	6	1	6	8	2	8	9	3	3	4	1	6	8
SRRSH204	3	8	9	2	2	3	1	6	8	4	2	1	1	6	8	1	2	1	2	4	6	1	6	8	2	8	9	3	3	4	1	2	1
SRRSH205	3	8	9	2	2	3	1	6	8	4	2	1	1	6	8	1	2	1	2	4	6	1	6	8	2	8	9	3	3	4	1	6	8
SRRSH207	3	4	5	2	2	3	1	6	8	4	2	1	1	6	8	3	4	6	2	8	9	3	2	1	2	8	9	3	3	4	4	6	8
SRRSH214	3	8	9	2	2	3	1	6	8	4	2	1	1	6	8	1	2	1	2	4	6	1	6	8	2	8	9	3	3	4	4	2	1
SRRSH229	3	8	9	2	2	3	1	6	8	4	2	1	1	6	8	1	2	1	2	4	6	1	6	8	2	8	9	3	3	4	1	6	8
SRRSH240	3	4	5	2	2	3	1	6	8	4	2	1	1	6	8	3	4	6	2	8	9	3	2	1	2	8	9	3	3	4	4	6	8
SS3160	4	2	1	2	5	1	1	6	8	4	2	1	1	6	8	2	8	9	2	4	6	2	5	1	2	5	1	1	1	2	2	2	1
