,wgs_id,accession,names,biosample_collection_date,continent,country,region,source,reference
577,JJJ010,SRR16683805,JJJ010,2015-03-26,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
578,JJJ020,SRR16683794,JJJ020,2015-06-29,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
579,JJJ024,SRR16683789,JJJ024,2016-02-01,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
580,LLL004,SRR16683785,LLL004,2013,Africa,South Africa,,representative,BristowMortimer_2023
581,LLL016,SRR16683772,LLL016,2013,Africa,South Africa,,representative,BristowMortimer_2023
582,LLL017,SRR16683771,LLL017,2013,Africa,South Africa,,representative,BristowMortimer_2023
583,LLL020,SRR16683767,LLL020,2013,Africa,South Africa,,representative,BristowMortimer_2023
584,LLL023,SRR16683765,LLL023,2013,Africa,South Africa,,representative,BristowMortimer_2023
585,LLL029,SRR16683760,LLL029,2014,Africa,South Africa,,representative,BristowMortimer_2023
586,LLL045,SRR16683743,LLL045,2014,Africa,South Africa,,representative,BristowMortimer_2023
587,LLL046,SRR16683742,LLL046,2014,Africa,South Africa,,representative,BristowMortimer_2023
588,LLL049,SRR16683740,LLL049,2014,Africa,South Africa,,representative,BristowMortimer_2023
589,MA30,,MA30,2015-2016,South America,Brazil,Manaus/Amazonas,representative,Golparian2020
590,MA43,,MA43,2015-2016,South America,Brazil,Manaus/Amazonas,representative,Golparian2020
591,MA45,,MA45,2015-2016,South America,Brazil,Manaus/Amazonas,representative,Golparian2020
592,MA65,,MA65,2015-2016,South America,Brazil,Manaus/Amazonas,representative,Golparian2020
593,MA73,,MA73,2015-2016,South America,Brazil,Manaus/Amazonas,representative,Golparian2020
594,MMM005,SRR16683733,MMM005,2014,Africa,South Africa,,representative,BristowMortimer_2023
595,Ng_140,SRR16683633,Ng_140,2019-09,North America,Dominican Republic,,representative,BristowMortimer_2023
596,Ng_188,SRR16683617,Ng_188,2019-11,North America,Dominican Republic,,representative,BristowMortimer_2023
597,POA37,,POA37,2015-2016,South America,Brazil,Porto Alegre/Rio Grande do Sul,representative,Golparian2020
598,POA56,,POA56,2015-2016,South America,Brazil,Porto Alegre/Rio Grande do Sul,representative,Golparian2020
599,POA58,,POA58,2015-2016,South America,Brazil,Porto Alegre/Rio Grande do Sul,representative,Golparian2020
600,SP22,,SP22,2015-2016,South America,Brazil,Sao Paulo/Sao Paulo,representative,Golparian2020
601,SRR10619218,SRR10619218,SAMN13526938,2018-01-25,North America,Canada,Saskatchewan,representative,Parmar2020
602,SRR11903859,SRR11903859,GCWGS-3962,2018-07-01,North America,USA,5-g,representative,Reimche2021
603,SRR11903915,SRR11903915,GCWGS-3744,2018-05-01,North America,USA,1-a,representative,Reimche2021
604,SRR11903919,SRR11903919,GCWGS-2192,2018-01-01,North America,USA,6-b,representative,Reimche2021
605,SRR11904001,SRR11904001,GCWGS-3362,2018-05-01,North America,USA,6-b,representative,Reimche2021
606,SRR11904209,SRR11904209,GCWGS-4797,2018-10-01,North America,USA,9-e,representative,Reimche2021
607,SRR11904217,SRR11904217,GCWGS-4790,2018-10-01,North America,USA,7-a,representative,Reimche2021
608,SRR11904221,SRR11904221,GCWGS-4786,2018-10-01,North America,USA,6-b,representative,Reimche2021
609,SRR11904288,SRR11904288,GCWGS-4625,2018-10-01,North America,USA,5-c,representative,Reimche2021
610,SRR11904417,SRR11904417,GCWGS-4303,2018-08-01,North America,USA,2-a,representative,Reimche2021
611,SRR11904545,SRR11904545,GCWGS-8618,2018-05-01,North America,USA,9-g,representative,Reimche2021
612,SRR11904572,SRR11904572,GCWGS-5871,2018-07-01,North America,USA,9-f,representative,Reimche2021
613,SRR11904618,SRR11904618,GCWGS-8518,2018-06-01,North America,USA,9-d,representative,Reimche2021
614,SRR11904810,SRR11904810,GCWGS-5417,2018-12-01,North America,USA,6-b,representative,Reimche2021
615,SRR11904845,SRR11904845,GCWGS-8909,2018-12-01,North America,USA,9-g,representative,Reimche2021
616,SRR11904906,SRR11904906,GCWGS-8684,2018-11-01,North America,USA,9-f,representative,Reimche2021
617,SRR13300785,SRR13300785,ST157,2013,Africa,South Africa,KwaZulu-Natal,representative,Mitchev2021
618,SRR13300789,SRR13300789,ST113,2013,Africa,South Africa,KwaZulu-Natal,representative,Mitchev2021
619,SRR13300793,SRR13300793,ST65,2013,Africa,South Africa,KwaZulu-Natal,representative,Mitchev2021
620,SRR13300795,SRR13300795,ST11,2013,Africa,South Africa,KwaZulu-Natal,representative,Mitchev2021
621,SRR13300796,SRR13300796,ST10,2013,Africa,South Africa,KwaZulu-Natal,representative,Mitchev2021
622,SRR13305401,SRR13305401,SAR517,2014,Africa,South Africa,KwaZulu-Natal,representative,Mitchev2021
623,SRR13305402,SRR13305402,SAR411,2014,Africa,South Africa,KwaZulu-Natal,representative,Mitchev2021
624,SRR13305403,SRR13305403,SAR41,2014,Africa,South Africa,KwaZulu-Natal,representative,Mitchev2021
