,id,sv_cluster,hv1_cluster,hv2_cluster
765,CCC016_opa_2,2,17,6
766,CCC016_opa_3,2,7,1
767,CCC016_opa_4,2,17,6
768,CCC016_opa_5,2,1,5
769,CCC016_opa_6,2,7,1
770,CCC016_opa_7,2,3,4
771,CCC016_opa_8,5,1,2
772,CCC016_opa_9,1,11,3
773,CCC017_opa_1,5,1,2
774,CCC017_opa_10,1,20,6
775,CCC017_opa_11,3,9,6
776,CCC017_opa_2,1,4,2
777,CCC017_opa_3,5,2,3
778,CCC017_opa_4,1,6,8
779,CCC017_opa_5,1,5,1
780,CCC017_opa_6,1,20,6
781,CCC017_opa_7,1,11,3
782,CCC017_opa_8,5,2,3
783,CCC017_opa_9,1,11,3
784,CCC020_opa_1,1,15,6
785,CCC020_opa_10,2,1,4
786,CCC020_opa_11,2,1,4
787,CCC020_opa_2,2,5,1
788,CCC020_opa_3,3,1,6
789,CCC020_opa_4,2,1,6
790,CCC020_opa_5,1,7,1
791,CCC020_opa_6,2,1,4
792,CCC020_opa_7,1,1,2
793,CCC020_opa_8,2,1,4
794,CCC020_opa_9,1,1,2
795,CCC028_opa_1,2,4,5
