ref_lcb_start,ref_lcb_stop,ref_lcb_strand,query_lcb_start,query_lcb_stop,query_lcb_strand,lcb_num,length_ratio,ref_strain,query_strain
1591352,1594576,1,1204314,1207078,-1,7,1.166425470332851,FA1090,2018C07-301
1602120,1717233,1,1667635,1782794,1,8,0.9996005522798913,FA1090,2018C07-301
1717238,2046681,1,1783163,2114204,-1,9,0.995172803368767,FA1090,2018C07-301
2047519,2155339,1,2114503,2234433,1,10,0.8990244309180355,FA1090,2018C07-301
1,54436,1,1,55035,1,0,0.9891158193116982,FA1090,2018S05-288
54439,55471,1,1888157,1889170,-1,1,1.018756169792695,FA1090,2018S05-288
55474,187648,1,56062,189068,1,2,0.9937446430988076,FA1090,2018S05-288
187651,469382,1,257886,541300,1,3,0.994061690671597,FA1090,2018S05-288
469496,1065470,1,541315,1146910,-1,4,0.9841131449235876,FA1090,2018S05-288
1067589,1072804,1,1148350,1152878,1,5,1.1517226148409894,FA1090,2018S05-288
1084351,1148067,1,1554622,1618296,1,6,1.0006596098878664,FA1090,2018S05-288
1149290,1218178,1,189842,257883,-1,7,1.01244837671404,FA1090,2018S05-288
1220634,1594577,1,1165083,1544809,1,8,0.9847705977467964,FA1090,2018S05-288
1603113,1717255,1,1619791,1733774,1,9,1.0013949448601984,FA1090,2018S05-288
1717260,1890525,1,1889173,2069720,-1,10,0.9596670119137953,FA1090,2018S05-288
1891599,2040109,1,1739289,1888154,-1,11,0.9976152890202532,FA1090,2018S05-288
2047523,2155339,1,2070045,2178594,1,12,0.9932472892426462,FA1090,2018S05-288
1,53799,1,1,54399,1,0,0.9889701827273062,FA1090,2020C08-294
53804,53852,1,1945677,1945716,-1,1,1.2307692307692308,FA1090,2020C08-294
53856,187648,1,54456,189338,1,2,0.9919188624130721,FA1090,2020C08-294
187651,1069997,1,258263,1208428,1,3,0.9286239758357759,FA1090,2020C08-294
1083140,1107821,1,1265551,1290241,1,4,0.9996354799513973,FA1090,2020C08-294
1109888,1148067,1,1225666,1263776,1,5,1.0018105484124902,FA1090,2020C08-294
